PERMNO,date
86356,2014-06-10
86356,2014-06-11
86356,2014-06-12
86356,2014-06-13
86356,2014-06-16
86356,2014-06-17
86356,2014-06-18
86356,2014-06-19
86356,2014-06-20
86356,2014-06-23
86356,2014-06-24
86356,2014-06-25
86356,2014-06-26
86356,2014-06-27
86356,2014-06-30
86356,2014-07-01
86356,2014-07-02
86356,2014-07-03
86356,2014-07-07
86356,2014-07-08
86356,2014-07-09
86356,2014-07-10
86356,2014-07-11
86356,2014-07-14
86356,2014-07-15
86356,2014-07-16
86356,2014-07-17
86356,2014-07-18
86356,2014-07-21
86356,2014-07-22
86356,2014-07-23
86356,2014-07-24
86356,2014-07-25
86356,2014-07-28
86356,2014-07-29
86356,2014-07-30
86356,2014-07-31
86356,2014-08-01
86356,2014-08-04
86356,2014-08-05
86356,2014-08-06
86356,2014-08-07
86356,2014-08-08
86356,2014-08-11
86356,2014-08-12
86356,2014-08-13
86356,2014-08-14
86356,2014-08-15
86356,2014-08-18
86356,2014-08-19
86356,2014-08-20
86356,2014-08-21
86356,2014-08-22
86356,2014-08-25
86356,2014-08-26
86356,2014-08-27
86356,2014-08-28
86356,2014-08-29
86356,2014-09-02
86356,2014-09-03
86356,2014-09-04
86356,2014-09-05
86356,2014-09-08
86356,2014-09-09
86356,2014-09-10
86356,2014-09-11
86356,2014-09-12
86356,2014-09-15
86356,2014-09-16
86356,2014-09-17
86356,2014-09-18
86356,2014-09-19
86356,2014-09-22
86356,2014-09-23
86356,2014-09-24
86356,2014-09-25
86356,2014-09-26
86356,2014-09-29
86356,2014-09-30
86356,2014-10-01
86356,2014-10-02
86356,2014-10-03
86356,2014-10-06
86356,2014-10-07
86356,2014-10-08
86356,2014-10-09
86356,2014-10-10
86356,2014-10-13
86356,2014-10-14
86356,2014-10-15
86356,2014-10-16
86356,2014-10-17
86356,2014-10-20
86356,2014-10-21
86356,2014-10-22
86356,2014-10-23
86356,2014-10-24
86356,2014-10-27
86356,2014-10-28
86356,2014-10-29
86356,2014-10-30
86356,2014-10-31
86356,2014-11-03
86356,2014-11-04
86356,2014-11-05
86356,2014-11-06
86356,2014-11-07
86356,2014-11-10
86356,2014-11-11
86356,2014-11-12
86356,2014-11-13
86356,2014-11-14
86356,2014-11-17
86356,2014-11-18
86356,2014-11-19
86356,2014-11-20
86356,2014-11-21
86356,2014-11-24
86356,2014-11-25
86356,2014-11-26
86356,2014-11-28
86356,2014-12-01
86356,2014-12-02
86356,2014-12-03
86356,2014-12-04
86356,2014-12-05
86356,2014-12-08
86356,2014-12-09
86356,2014-12-10
86356,2014-12-11
86356,2014-12-12
86356,2014-12-15
86356,2014-12-16
86356,2014-12-17
86356,2014-12-18
86356,2014-12-19
86356,2014-12-22
86356,2014-12-23
86356,2014-12-24
86356,2014-12-26
86356,2014-12-29
86356,2014-12-30
86356,2014-12-31
86356,2015-01-02
86356,2015-01-05
86356,2015-01-06
86356,2015-01-07
86356,2015-01-08
86356,2015-01-09
86356,2015-01-12
86356,2015-01-13
86356,2015-01-14
86356,2015-01-15
86356,2015-01-16
86356,2015-01-20
86356,2015-01-21
86356,2015-01-22
86356,2015-01-23
86356,2015-01-26
86356,2015-01-27
86356,2015-01-28
86356,2015-01-29
86356,2015-01-30
86356,2015-02-02
86356,2015-02-03
86356,2015-02-04
86356,2015-02-05
86356,2015-02-06
86356,2015-02-09
86356,2015-02-10
86356,2015-02-11
86356,2015-02-12
86356,2015-02-13
86356,2015-02-17
86356,2015-02-18
86356,2015-02-19
86356,2015-02-20
86356,2015-02-23
86356,2015-02-24
86356,2015-02-25
86356,2015-02-26
86356,2015-02-27
86356,2015-03-02
86356,2015-03-03
86356,2015-03-04
86356,2015-03-05
86356,2015-03-06
86356,2015-03-09
86356,2015-03-10
86356,2015-03-11
86356,2015-03-12
86356,2015-03-13
86356,2015-03-16
86356,2015-03-17
86356,2015-03-18
86356,2015-03-19
86356,2015-03-20
86356,2015-03-23
86356,2015-03-24
86356,2015-03-25
86356,2015-03-26
86356,2015-03-27
86356,2015-03-30
86356,2015-03-31
86356,2015-04-01
86356,2015-04-02
86356,2015-04-06
86356,2015-04-07
86356,2015-04-08
86356,2015-04-09
86356,2015-04-10
86356,2015-04-13
86356,2015-04-14
86356,2015-04-15
86356,2015-04-16
86356,2015-04-17
86356,2015-04-20
86356,2015-04-21
86356,2015-04-22
86356,2015-04-23
86356,2015-04-24
86356,2015-04-27
86356,2015-04-28
86356,2015-04-29
86356,2015-04-30
86356,2015-05-01
86356,2015-05-04
86356,2015-05-05
86356,2015-05-06
86356,2015-05-07
86356,2015-05-08
86356,2015-05-11
86356,2015-05-12
86356,2015-05-13
86356,2015-05-14
86356,2015-05-15
86356,2015-05-18
86356,2015-05-19
86356,2015-05-20
86356,2015-05-21
86356,2015-05-22
86356,2015-05-26
86356,2015-05-27
86356,2015-05-28
86356,2015-05-29
86356,2015-06-01
86356,2015-06-02
86356,2015-06-03
86356,2015-06-04
86356,2015-06-05
86356,2015-06-08
86356,2015-06-09
86356,2015-06-10
86356,2015-06-11
86356,2015-06-12
86356,2015-06-15
86356,2015-06-16
86356,2015-06-17
86356,2015-06-18
86356,2015-06-19
86356,2015-06-22
86356,2015-06-23
86356,2015-06-24
86356,2015-06-25
86356,2015-06-26
86356,2015-06-29
86356,2015-06-30
86356,2015-07-01
86356,2015-07-02
86356,2015-07-06
86356,2015-07-07
86356,2015-07-08
86356,2015-07-09
86356,2015-07-10
86356,2015-07-13
86356,2015-07-14
86356,2015-07-15
86356,2015-07-16
86356,2015-07-17
86356,2015-07-20
86356,2015-07-21
86356,2015-07-22
86356,2015-07-23
86356,2015-07-24
86356,2015-07-27
86356,2015-07-28
86356,2015-07-29
86356,2015-07-30
86356,2015-07-31
86356,2015-08-03
86356,2015-08-04
86356,2015-08-05
86356,2015-08-06
86356,2015-08-07
86356,2015-08-10
86356,2015-08-11
86356,2015-08-12
86356,2015-08-13
86356,2015-08-14
86356,2015-08-17
86356,2015-08-18
86356,2015-08-19
86356,2015-08-20
86356,2015-08-21
86356,2015-08-24
86356,2015-08-25
86356,2015-08-26
86356,2015-08-27
86356,2015-08-28
86356,2015-08-31
86356,2015-09-01
86356,2015-09-02
86356,2015-09-03
86356,2015-09-04
86356,2015-09-08
86356,2015-09-09
86356,2015-09-10
86356,2015-09-11
86356,2015-09-14
86356,2015-09-15
86356,2015-09-16
86356,2015-09-17
86356,2015-09-18
86356,2015-09-21
86356,2015-09-22
86356,2015-09-23
86356,2015-09-24
86356,2015-09-25
86356,2015-09-28
86356,2015-09-29
86356,2015-09-30
86356,2015-10-01
86356,2015-10-02
86356,2015-10-05
86356,2015-10-06
86356,2015-10-07
86356,2015-10-08
86356,2015-10-09
86356,2015-10-12
86356,2015-10-13
86356,2015-10-14
86356,2015-10-15
86356,2015-10-16
86356,2015-10-19
86356,2015-10-20
86356,2015-10-21
86356,2015-10-22
86356,2015-10-23
86356,2015-10-26
